Read_Length Time	Coverage	Method
100bp	446	500K	BALDR
100bp	445	500K	BALDR
100bp	565	500K	BALDR
100bp	565	500K	BALDR
100bp	449	500K	BALDR
100bp	368	500K	BALDR
75bp	307	500K	BALDR
75bp	183	500K	BALDR
75bp	238	500K	BALDR
75bp	227	500K	BALDR
75bp	200	500K	BALDR
75bp	325	500K	BALDR
75bp	226	500K	BALDR
75bp	198	500K	BALDR
75bp	221	500K	BALDR
75bp	195	500K	BALDR
75bp	330	500K	BALDR
75bp	425	500K	BALDR
75bp	216	500K	BALDR
75bp	188	500K	BALDR
75bp	275	500K	BALDR
75bp	247	500K	BALDR
75bp	444	500K	BALDR
75bp	555	500K	BALDR
75bp	396	500K	BALDR
75bp	189	500K	BALDR
75bp	416	500K	BALDR
75bp	223	500K	BALDR
75bp	298	500K	BALDR
75bp	355	500K	BALDR
75bp	216	500K	BALDR
75bp	328	500K	BALDR
75bp	292	500K	BALDR
75bp	370	500K	BALDR
75bp	297	500K	BALDR
75bp	305	500K	BALDR
75bp	235	500K	BALDR
75bp	269	500K	BALDR
75bp	169	500K	BALDR
75bp	338	500K	BALDR
75bp	270	500K	BALDR
75bp	230	500K	BALDR
75bp	371	500K	BALDR
75bp	453	500K	BALDR
75bp	196	500K	BALDR
75bp	363	500K	BALDR
50bp	249	500K	BALDR
50bp	110	500K	BALDR
50bp	128	500K	BALDR
50bp	117	500K	BALDR
50bp	161	500K	BALDR
50bp	169	500K	BALDR
50bp	115	500K	BALDR
50bp	202	500K	BALDR
50bp	115	500K	BALDR
50bp	97	500K	BALDR
50bp	163	500K	BALDR
50bp	331	500K	BALDR
50bp	171	500K	BALDR
50bp	99	500K	BALDR
50bp	109	500K	BALDR
50bp	116	500K	BALDR
50bp	183	500K	BALDR
50bp	252	500K	BALDR
50bp	177	500K	BALDR
50bp	170	500K	BALDR
50bp	181	500K	BALDR
50bp	113	500K	BALDR
50bp	192	500K	BALDR
50bp	179	500K	BALDR
50bp	121	500K	BALDR
50bp	179	500K	BALDR
50bp	302	500K	BALDR
50bp	154	500K	BALDR
50bp	133	500K	BALDR
50bp	197	500K	BALDR
50bp	142	500K	BALDR
50bp	284	500K	BALDR
50bp	131	500K	BALDR
50bp	218	500K	BALDR
50bp	210	500K	BALDR
50bp	202	500K	BALDR
50bp	123	500K	BALDR
50bp	203	500K	BALDR
50bp	141	500K	BALDR
50bp	126	500K	BALDR
25bp	55	500K	BALDR
25bp	55	500K	BALDR
25bp	53	500K	BALDR
25bp	67	500K	BALDR
25bp	90	500K	BALDR
25bp	53	500K	BALDR
25bp	63	500K	BALDR
25bp	66	500K	BALDR
25bp	107	500K	BALDR
25bp	53	500K	BALDR
25bp	67	500K	BALDR
25bp	49	500K	BALDR
25bp	50	500K	BALDR
25bp	51	500K	BALDR
25bp	53	500K	BALDR
25bp	141	500K	BALDR
25bp	57	500K	BALDR
25bp	68	500K	BALDR
25bp	59	500K	BALDR
25bp	58	500K	BALDR
25bp	84	500K	BALDR
25bp	50	500K	BALDR
25bp	130	500K	BALDR
25bp	53	500K	BALDR
25bp	124	500K	BALDR
25bp	65	500K	BALDR
25bp	56	500K	BALDR
25bp	53	500K	BALDR
25bp	90	500K	BALDR
25bp	103	500K	BALDR
25bp	104	500K	BALDR
25bp	53	500K	BALDR
25bp	68	500K	BALDR
25bp	99	500K	BALDR
25bp	50	500K	BALDR
25bp	53	500K	BALDR
25bp	77	500K	BALDR
25bp	64	500K	BALDR
25bp	406	500K	BALDR
25bp	140	500K	BALDR
100bp	1812	500K	VDJpuzzle
100bp	1800	500K	VDJpuzzle
100bp	1840	500K	VDJpuzzle
100bp	1790	500K	VDJpuzzle
75bp	769	500K	VDJpuzzle
75bp	762	500K	VDJpuzzle
75bp	764	500K	VDJpuzzle
75bp	770	500K	VDJpuzzle
75bp	760	500K	VDJpuzzle
50bp	1200	500K	VDJpuzzle
50bp	1190	500K	VDJpuzzle
50bp	1213	500K	VDJpuzzle
50bp	1201	500K	VDJpuzzle
50bp	1198	500K	VDJpuzzle
25bp	769	500K	VDJpuzzle
25bp	750	500K	VDJpuzzle
25bp	759	500K	VDJpuzzle
25bp	780	500K	VDJpuzzle
25bp	775	500K	VDJpuzzle
100bp	33	500K	TRUST4
100bp	45	500K	TRUST4
100bp	44	500K	TRUST4
100bp	44	500K	TRUST4
100bp	40	500K	TRUST4
100bp	41	500K	TRUST4
100bp	46	500K	TRUST4
100bp	43	500K	TRUST4
100bp	42	500K	TRUST4
100bp	45	500K	TRUST4
100bp	40	500K	TRUST4
100bp	36	500K	TRUST4
100bp	32	500K	TRUST4
100bp	35	500K	TRUST4
100bp	32	500K	TRUST4
100bp	33	500K	TRUST4
100bp	36	500K	TRUST4
100bp	33	500K	TRUST4
100bp	33	500K	TRUST4
100bp	29	500K	TRUST4
100bp	26	500K	TRUST4
100bp	30	500K	TRUST4
100bp	29	500K	TRUST4
100bp	33	500K	TRUST4
100bp	29	500K	TRUST4
100bp	27	500K	TRUST4
100bp	29	500K	TRUST4
100bp	28	500K	TRUST4
100bp	28	500K	TRUST4
100bp	28	500K	TRUST4
100bp	31	500K	TRUST4
100bp	28	500K	TRUST4
75bp	15	500K	TRUST4
75bp	53	500K	TRUST4
75bp	1	500K	TRUST4
75bp	21	500K	TRUST4
75bp	42	500K	TRUST4
75bp	58	500K	TRUST4
75bp	18	500K	TRUST4
75bp	34	500K	TRUST4
75bp	48	500K	TRUST4
75bp	5	500K	TRUST4
75bp	10	500K	TRUST4
75bp	17	500K	TRUST4
75bp	18	500K	TRUST4
75bp	20	500K	TRUST4
75bp	20	500K	TRUST4
75bp	23	500K	TRUST4
75bp	16	500K	TRUST4
75bp	12	500K	TRUST4
75bp	5	500K	TRUST4
75bp	49	500K	TRUST4
75bp	35	500K	TRUST4
75bp	28	500K	TRUST4
75bp	18	500K	TRUST4
75bp	9	500K	TRUST4
75bp	56	500K	TRUST4
75bp	46	500K	TRUST4
75bp	41	500K	TRUST4
75bp	24	500K	TRUST4
75bp	8	500K	TRUST4
75bp	53	500K	TRUST4
75bp	40	500K	TRUST4
75bp	30	500K	TRUST4
50bp	55	500K	TRUST4
50bp	55	500K	TRUST4
50bp	62	500K	TRUST4
50bp	56	500K	TRUST4
50bp	58	500K	TRUST4
50bp	57	500K	TRUST4
50bp	54	500K	TRUST4
50bp	51	500K	TRUST4
50bp	54	500K	TRUST4
50bp	54	500K	TRUST4
50bp	46	500K	TRUST4
50bp	46	500K	TRUST4
50bp	46	500K	TRUST4
50bp	43	500K	TRUST4
50bp	45	500K	TRUST4
50bp	45	500K	TRUST4
50bp	46	500K	TRUST4
50bp	45	500K	TRUST4
50bp	46	500K	TRUST4
50bp	40	500K	TRUST4
50bp	39	500K	TRUST4
50bp	38	500K	TRUST4
50bp	37	500K	TRUST4
50bp	41	500K	TRUST4
50bp	35	500K	TRUST4
50bp	36	500K	TRUST4
50bp	39	500K	TRUST4
50bp	39	500K	TRUST4
50bp	34	500K	TRUST4
50bp	34	500K	TRUST4
50bp	42	500K	TRUST4
50bp	40	500K	TRUST4
25bp	2	500K	TRUST4
25bp	3	500K	TRUST4
25bp	4	500K	TRUST4
25bp	3	500K	TRUST4
25bp	2	500K	TRUST4
25bp	5	500K	TRUST4
25bp	3	500K	TRUST4
25bp	4	500K	TRUST4
25bp	4	500K	TRUST4
25bp	5	500K	TRUST4
25bp	3	500K	TRUST4
25bp	6	500K	TRUST4
25bp	5	500K	TRUST4
25bp	4	500K	TRUST4
25bp	6	500K	TRUST4
25bp	4	500K	TRUST4
25bp	5	500K	TRUST4
25bp	6	500K	TRUST4
25bp	5	500K	TRUST4
25bp	6	500K	TRUST4
25bp	5	500K	TRUST4
25bp	3	500K	TRUST4
25bp	7	500K	TRUST4
25bp	3	500K	TRUST4
25bp	4	500K	TRUST4
25bp	5	500K	TRUST4
25bp	6	500K	TRUST4
25bp	7	500K	TRUST4
25bp	6	500K	TRUST4
25bp	5	500K	TRUST4
25bp	3	500K	TRUST4
25bp	4	500K	TRUST4
25bp	3	500K	TRUST4
25bp	2	500K	TRUST4
25bp	2	500K	TRUST4
25bp	6	500K	TRUST4
25bp	5	500K	TRUST4
25bp	6	500K	TRUST4
25bp	6	500K	TRUST4
25bp	3	500K	TRUST4
100bp	664	750K	BRACER
100bp	717	750K	BRACER
100bp	705	750K	BRACER
100bp	765	750K	BRACER
100bp	764	750K	BRACER
100bp	653	750K	BRACER
100bp	663	750K	BRACER
100bp	755	750K	BRACER
100bp	748	750K	BRACER
100bp	743	750K	BRACER
100bp	759	750K	BRACER
100bp	1393	750K	BRACER
100bp	757	750K	BRACER
100bp	764	750K	BRACER
100bp	693	750K	BRACER
100bp	696	750K	BRACER
100bp	655	750K	BRACER
100bp	706	750K	BRACER
100bp	717	750K	BRACER
100bp	710	750K	BRACER
100bp	663	750K	BRACER
100bp	669	750K	BRACER
100bp	692	750K	BRACER
100bp	733	750K	BRACER
100bp	741	750K	BRACER
100bp	673	750K	BRACER
100bp	669	750K	BRACER
100bp	670	750K	BRACER
100bp	713	750K	BRACER
100bp	664	750K	BRACER
100bp	661	750K	BRACER
100bp	728	750K	BRACER
100bp	672	750K	BRACER
100bp	715	750K	BRACER
100bp	662	750K	BRACER
100bp	717	750K	BRACER
100bp	717	750K	BRACER
100bp	721	750K	BRACER
100bp	724	750K	BRACER
100bp	705	750K	BRACER
75bp	697	750K	BRACER
75bp	671	750K	BRACER
75bp	664	750K	BRACER
75bp	672	750K	BRACER
75bp	714	750K	BRACER
75bp	707	750K	BRACER
75bp	743	750K	BRACER
75bp	745	750K	BRACER
75bp	741	750K	BRACER
75bp	739	750K	BRACER
75bp	734	750K	BRACER
75bp	700	750K	BRACER
75bp	729	750K	BRACER
75bp	702	750K	BRACER
75bp	699	750K	BRACER
75bp	655	750K	BRACER
75bp	654	750K	BRACER
75bp	677	750K	BRACER
75bp	678	750K	BRACER
75bp	681	750K	BRACER
75bp	674	750K	BRACER
75bp	704	750K	BRACER
75bp	646	750K	BRACER
75bp	699	750K	BRACER
75bp	742	750K	BRACER
75bp	742	750K	BRACER
75bp	637	750K	BRACER
75bp	620	750K	BRACER
75bp	635	750K	BRACER
75bp	678	750K	BRACER
75bp	1309	750K	BRACER
75bp	651	750K	BRACER
75bp	668	750K	BRACER
75bp	701	750K	BRACER
75bp	639	750K	BRACER
75bp	694	750K	BRACER
75bp	692	750K	BRACER
75bp	703	750K	BRACER
75bp	701	750K	BRACER
75bp	636	750K	BRACER
50bp	778	750K	BRACER
50bp	627	750K	BRACER
50bp	611	750K	BRACER
50bp	628	750K	BRACER
50bp	623	750K	BRACER
50bp	613	750K	BRACER
50bp	713	750K	BRACER
50bp	706	750K	BRACER
50bp	636	750K	BRACER
50bp	694	750K	BRACER
50bp	734	750K	BRACER
50bp	700	750K	BRACER
50bp	628	750K	BRACER
50bp	730	750K	BRACER
50bp	729	750K	BRACER
50bp	724	750K	BRACER
50bp	725	750K	BRACER
50bp	673	750K	BRACER
50bp	729	750K	BRACER
50bp	731	750K	BRACER
50bp	721	750K	BRACER
50bp	673	750K	BRACER
50bp	694	750K	BRACER
50bp	704	750K	BRACER
50bp	716	750K	BRACER
50bp	708	750K	BRACER
50bp	727	750K	BRACER
50bp	710	750K	BRACER
50bp	725	750K	BRACER
50bp	718	750K	BRACER
50bp	724	750K	BRACER
50bp	699	750K	BRACER
50bp	736	750K	BRACER
50bp	679	750K	BRACER
50bp	715	750K	BRACER
50bp	756	750K	BRACER
50bp	782	750K	BRACER
50bp	756	750K	BRACER
50bp	817	750K	BRACER
50bp	623	750K	BRACER
25bp	80	750K	BRACER
25bp	82	750K	BRACER
25bp	76	750K	BRACER
25bp	79	750K	BRACER
25bp	76	750K	BRACER
25bp	70	750K	BRACER
25bp	75	750K	BRACER
25bp	75	750K	BRACER
25bp	66	750K	BRACER
25bp	66	750K	BRACER
25bp	79	750K	BRACER
25bp	85	750K	BRACER
25bp	73	750K	BRACER
25bp	79	750K	BRACER
25bp	73	750K	BRACER
25bp	72	750K	BRACER
25bp	69	750K	BRACER
25bp	76	750K	BRACER
25bp	79	750K	BRACER
25bp	79	750K	BRACER
25bp	73	750K	BRACER
25bp	81	750K	BRACER
25bp	72	750K	BRACER
25bp	69	750K	BRACER
25bp	73	750K	BRACER
25bp	79	750K	BRACER
25bp	69	750K	BRACER
25bp	65	750K	BRACER
25bp	77	750K	BRACER
25bp	70	750K	BRACER
25bp	78	750K	BRACER
25bp	72	750K	BRACER
25bp	82	750K	BRACER
25bp	79	750K	BRACER
25bp	81	750K	BRACER
25bp	86	750K	BRACER
25bp	81	750K	BRACER
25bp	80	750K	BRACER
25bp	79	750K	BRACER
25bp	69	750K	BRACER
100bp	141	750K	MIXCR
100bp	191	750K	MIXCR
100bp	185	750K	MIXCR
100bp	190	750K	MIXCR
100bp	191	750K	MIXCR
100bp	183	750K	MIXCR
100bp	186	750K	MIXCR
100bp	186	750K	MIXCR
100bp	212	750K	MIXCR
100bp	211	750K	MIXCR
100bp	226	750K	MIXCR
100bp	140	750K	MIXCR
100bp	225	750K	MIXCR
100bp	241	750K	MIXCR
100bp	236	750K	MIXCR
100bp	231	750K	MIXCR
100bp	233	750K	MIXCR
100bp	247	750K	MIXCR
100bp	252	750K	MIXCR
100bp	253	750K	MIXCR
100bp	250	750K	MIXCR
100bp	250	750K	MIXCR
100bp	126	750K	MIXCR
100bp	232	750K	MIXCR
100bp	245	750K	MIXCR
100bp	246	750K	MIXCR
100bp	222	750K	MIXCR
100bp	206	750K	MIXCR
100bp	227	750K	MIXCR
100bp	219	750K	MIXCR
100bp	249	750K	MIXCR
100bp	234	750K	MIXCR
100bp	252	750K	MIXCR
100bp	128	750K	MIXCR
100bp	249	750K	MIXCR
100bp	206	750K	MIXCR
100bp	204	750K	MIXCR
100bp	207	750K	MIXCR
100bp	191	750K	MIXCR
100bp	170	750K	MIXCR
75bp	203	750K	MIXCR
75bp	188	750K	MIXCR
75bp	181	750K	MIXCR
75bp	187	750K	MIXCR
75bp	195	750K	MIXCR
75bp	188	750K	MIXCR
75bp	193	750K	MIXCR
75bp	194	750K	MIXCR
75bp	175	750K	MIXCR
75bp	173	750K	MIXCR
75bp	181	750K	MIXCR
75bp	202	750K	MIXCR
75bp	180	750K	MIXCR
75bp	189	750K	MIXCR
75bp	184	750K	MIXCR
75bp	183	750K	MIXCR
75bp	184	750K	MIXCR
75bp	194	750K	MIXCR
75bp	197	750K	MIXCR
75bp	199	750K	MIXCR
75bp	197	750K	MIXCR
75bp	199	750K	MIXCR
75bp	199	750K	MIXCR
75bp	183	750K	MIXCR
75bp	195	750K	MIXCR
75bp	196	750K	MIXCR
75bp	172	750K	MIXCR
75bp	166	750K	MIXCR
75bp	178	750K	MIXCR
75bp	169	750K	MIXCR
75bp	204	750K	MIXCR
75bp	192	750K	MIXCR
75bp	206	750K	MIXCR
75bp	201	750K	MIXCR
75bp	204	750K	MIXCR
75bp	208	750K	MIXCR
75bp	206	750K	MIXCR
75bp	208	750K	MIXCR
75bp	207	750K	MIXCR
75bp	179	750K	MIXCR
50bp	61	750K	MIXCR
50bp	82	750K	MIXCR
50bp	73	750K	MIXCR
50bp	76	750K	MIXCR
50bp	157	750K	MIXCR
50bp	149	750K	MIXCR
50bp	155	750K	MIXCR
50bp	104	750K	MIXCR
50bp	101	750K	MIXCR
50bp	101	750K	MIXCR
50bp	121	750K	MIXCR
50bp	59	750K	MIXCR
50bp	119	750K	MIXCR
50bp	121	750K	MIXCR
50bp	107	750K	MIXCR
50bp	107	750K	MIXCR
50bp	107	750K	MIXCR
50bp	115	750K	MIXCR
50bp	117	750K	MIXCR
50bp	118	750K	MIXCR
50bp	112	750K	MIXCR
50bp	113	750K	MIXCR
50bp	52	750K	MIXCR
50bp	111	750K	MIXCR
50bp	136	750K	MIXCR
50bp	137	750K	MIXCR
50bp	135	750K	MIXCR
50bp	127	750K	MIXCR
50bp	143	750K	MIXCR
50bp	138	750K	MIXCR
50bp	143	750K	MIXCR
50bp	140	750K	MIXCR
50bp	81	750K	MIXCR
50bp	45	750K	MIXCR
50bp	80	750K	MIXCR
50bp	85	750K	MIXCR
50bp	84	750K	MIXCR
50bp	83	750K	MIXCR
50bp	83	750K	MIXCR
50bp	77	750K	MIXCR
25bp	40	750K	MIXCR
25bp	83	750K	MIXCR
25bp	78	750K	MIXCR
25bp	80	750K	MIXCR
25bp	80	750K	MIXCR
25bp	77	750K	MIXCR
25bp	78	750K	MIXCR
25bp	79	750K	MIXCR
25bp	70	750K	MIXCR
25bp	70	750K	MIXCR
25bp	72	750K	MIXCR
25bp	55	750K	MIXCR
25bp	81	750K	MIXCR
25bp	82	750K	MIXCR
25bp	80	750K	MIXCR
25bp	73	750K	MIXCR
25bp	73	750K	MIXCR
25bp	74	750K	MIXCR
25bp	105	750K	MIXCR
25bp	106	750K	MIXCR
25bp	104	750K	MIXCR
25bp	106	750K	MIXCR
25bp	54	750K	MIXCR
25bp	95	750K	MIXCR
25bp	96	750K	MIXCR
25bp	97	750K	MIXCR
25bp	96	750K	MIXCR
25bp	90	750K	MIXCR
25bp	96	750K	MIXCR
25bp	93	750K	MIXCR
25bp	96	750K	MIXCR
25bp	77	750K	MIXCR
25bp	80	750K	MIXCR
25bp	56	750K	MIXCR
25bp	80	750K	MIXCR
25bp	56	750K	MIXCR
25bp	59	750K	MIXCR
25bp	59	750K	MIXCR
25bp	83	750K	MIXCR
25bp	76	750K	MIXCR
100bp	161	750K	BASIC
100bp	171	750K	BASIC
100bp	147	750K	BASIC
100bp	167	750K	BASIC
100bp	164	750K	BASIC
100bp	140	750K	BASIC
100bp	162	750K	BASIC
100bp	138	750K	BASIC
100bp	177	750K	BASIC
100bp	165	750K	BASIC
100bp	170	750K	BASIC
100bp	165	750K	BASIC
100bp	156	750K	BASIC
100bp	163	750K	BASIC
100bp	151	750K	BASIC
100bp	152	750K	BASIC
100bp	168	750K	BASIC
100bp	174	750K	BASIC
100bp	147	750K	BASIC
100bp	183	750K	BASIC
100bp	178	750K	BASIC
100bp	148	750K	BASIC
100bp	174	750K	BASIC
100bp	130	750K	BASIC
100bp	161	750K	BASIC
100bp	143	750K	BASIC
100bp	161	750K	BASIC
100bp	158	750K	BASIC
100bp	168	750K	BASIC
100bp	163	750K	BASIC
100bp	162	750K	BASIC
100bp	166	750K	BASIC
100bp	160	750K	BASIC
100bp	134	750K	BASIC
100bp	170	750K	BASIC
100bp	165	750K	BASIC
100bp	156	750K	BASIC
100bp	163	750K	BASIC
100bp	163	750K	BASIC
100bp	162	750K	BASIC
75bp	144	750K	BASIC
75bp	142	750K	BASIC
75bp	121	750K	BASIC
75bp	169	750K	BASIC
75bp	145	750K	BASIC
75bp	129	750K	BASIC
75bp	139	750K	BASIC
75bp	122	750K	BASIC
75bp	140	750K	BASIC
75bp	172	750K	BASIC
75bp	145	750K	BASIC
75bp	154	750K	BASIC
75bp	124	750K	BASIC
75bp	133	750K	BASIC
75bp	123	750K	BASIC
75bp	133	750K	BASIC
75bp	156	750K	BASIC
75bp	150	750K	BASIC
75bp	134	750K	BASIC
75bp	157	750K	BASIC
75bp	134	750K	BASIC
75bp	129	750K	BASIC
75bp	141	750K	BASIC
75bp	113	750K	BASIC
75bp	148	750K	BASIC
75bp	115	750K	BASIC
75bp	140	750K	BASIC
75bp	156	750K	BASIC
75bp	149	750K	BASIC
75bp	142	750K	BASIC
75bp	136	750K	BASIC
75bp	149	750K	BASIC
75bp	144	750K	BASIC
75bp	118	750K	BASIC
75bp	129	750K	BASIC
75bp	141	750K	BASIC
75bp	113	750K	BASIC
75bp	148	750K	BASIC
75bp	115	750K	BASIC
75bp	140	750K	BASIC
50bp	101	750K	BASIC
50bp	119	750K	BASIC
50bp	100	750K	BASIC
50bp	111	750K	BASIC
50bp	115	750K	BASIC
50bp	97	750K	BASIC
50bp	130	750K	BASIC
50bp	106	750K	BASIC
50bp	116	750K	BASIC
50bp	114	750K	BASIC
50bp	119	750K	BASIC
50bp	126	750K	BASIC
50bp	101	750K	BASIC
50bp	100	750K	BASIC
50bp	104	750K	BASIC
50bp	111	750K	BASIC
50bp	122	750K	BASIC
50bp	127	750K	BASIC
50bp	107	750K	BASIC
50bp	126	750K	BASIC
50bp	112	750K	BASIC
50bp	92	750K	BASIC
50bp	111	750K	BASIC
50bp	91	750K	BASIC
50bp	108	750K	BASIC
50bp	107	750K	BASIC
50bp	112	750K	BASIC
50bp	123	750K	BASIC
50bp	122	750K	BASIC
50bp	107	750K	BASIC
50bp	107	750K	BASIC
50bp	107	750K	BASIC
50bp	114	750K	BASIC
50bp	92	750K	BASIC
50bp	138	750K	BASIC
50bp	100	750K	BASIC
50bp	123	750K	BASIC
50bp	105	750K	BASIC
50bp	102	750K	BASIC
50bp	101	750K	BASIC
25bp	77	750K	BASIC
25bp	88	750K	BASIC
25bp	75	750K	BASIC
25bp	86	750K	BASIC
25bp	90	750K	BASIC
25bp	73	750K	BASIC
25bp	82	750K	BASIC
25bp	77	750K	BASIC
25bp	80	750K	BASIC
25bp	86	750K	BASIC
25bp	82	750K	BASIC
25bp	87	750K	BASIC
25bp	76	750K	BASIC
25bp	75	750K	BASIC
25bp	79	750K	BASIC
25bp	81	750K	BASIC
25bp	93	750K	BASIC
25bp	85	750K	BASIC
25bp	76	750K	BASIC
25bp	92	750K	BASIC
25bp	74	750K	BASIC
25bp	63	750K	BASIC
25bp	82	750K	BASIC
25bp	92	750K	BASIC
25bp	72	750K	BASIC
25bp	64	750K	BASIC
25bp	87	750K	BASIC
25bp	71	750K	BASIC
25bp	81	750K	BASIC
25bp	70	750K	BASIC
25bp	81	750K	BASIC
25bp	89	750K	BASIC
25bp	82	750K	BASIC
25bp	77	750K	BASIC
25bp	76	750K	BASIC
25bp	83	750K	BASIC
25bp	90	750K	BASIC
25bp	72	750K	BASIC
25bp	74	750K	BASIC
25bp	95	750K	BASIC
100bp	864	750K	BALDR
100bp	956	750K	BALDR
100bp	958	750K	BALDR
100bp	535	750K	BALDR
100bp	592	750K	BALDR
100bp	744	750K	BALDR
100bp	869	750K	BALDR
100bp	838	750K	BALDR
100bp	598	750K	BALDR
100bp	576	750K	BALDR
100bp	688	750K	BALDR
100bp	511	750K	BALDR
100bp	495	750K	BALDR
100bp	553	750K	BALDR
100bp	817	750K	BALDR
100bp	570	750K	BALDR
100bp	688	750K	BALDR
100bp	862	750K	BALDR
100bp	475	750K	BALDR
100bp	801	750K	BALDR
100bp	685	750K	BALDR
100bp	541	750K	BALDR
100bp	628	750K	BALDR
100bp	603	750K	BALDR
100bp	460	750K	BALDR
100bp	936	750K	BALDR
100bp	753	750K	BALDR
100bp	523	750K	BALDR
100bp	854	750K	BALDR
100bp	525	750K	BALDR
100bp	750	750K	BALDR
100bp	444	750K	BALDR
100bp	508	750K	BALDR
100bp	999	750K	BALDR
100bp	669	750K	BALDR
100bp	867	750K	BALDR
100bp	969	750K	BALDR
100bp	898	750K	BALDR
100bp	755	750K	BALDR
100bp	611	750K	BALDR
75bp	555	750K	BALDR
75bp	292	750K	BALDR
75bp	322	750K	BALDR
75bp	487	750K	BALDR
75bp	268	750K	BALDR
75bp	303	750K	BALDR
75bp	341	750K	BALDR
75bp	352	750K	BALDR
75bp	259	750K	BALDR
75bp	287	750K	BALDR
75bp	408	750K	BALDR
75bp	295	750K	BALDR
75bp	557	750K	BALDR
75bp	335	750K	BALDR
75bp	290	750K	BALDR
75bp	311	750K	BALDR
75bp	361	750K	BALDR
75bp	415	750K	BALDR
75bp	495	750K	BALDR
75bp	311	750K	BALDR
75bp	453	750K	BALDR
75bp	266	750K	BALDR
75bp	445	750K	BALDR
75bp	435	750K	BALDR
75bp	397	750K	BALDR
75bp	448	750K	BALDR
75bp	302	750K	BALDR
75bp	322	750K	BALDR
75bp	448	750K	BALDR
75bp	411	750K	BALDR
75bp	324	750K	BALDR
75bp	253	750K	BALDR
75bp	465	750K	BALDR
75bp	718	750K	BALDR
75bp	574	750K	BALDR
75bp	382	750K	BALDR
75bp	624	750K	BALDR
75bp	519	750K	BALDR
75bp	267	750K	BALDR
75bp	262	750K	BALDR
50bp	322	750K	BALDR
50bp	170	750K	BALDR
50bp	143	750K	BALDR
50bp	141	750K	BALDR
50bp	153	750K	BALDR
50bp	116	750K	BALDR
50bp	188	750K	BALDR
50bp	245	750K	BALDR
50bp	137	750K	BALDR
50bp	118	750K	BALDR
50bp	178	750K	BALDR
50bp	339	750K	BALDR
50bp	232	750K	BALDR
50bp	176	750K	BALDR
50bp	120	750K	BALDR
50bp	168	750K	BALDR
50bp	171	750K	BALDR
50bp	229	750K	BALDR
50bp	268	750K	BALDR
50bp	160	750K	BALDR
50bp	235	750K	BALDR
50bp	169	750K	BALDR
50bp	304	750K	BALDR
50bp	187	750K	BALDR
50bp	170	750K	BALDR
50bp	177	750K	BALDR
50bp	190	750K	BALDR
50bp	253	750K	BALDR
50bp	268	750K	BALDR
50bp	222	750K	BALDR
50bp	217	750K	BALDR
50bp	164	750K	BALDR
50bp	247	750K	BALDR
50bp	534	750K	BALDR
50bp	383	750K	BALDR
50bp	217	750K	BALDR
50bp	290	750K	BALDR
50bp	249	750K	BALDR
50bp	182	750K	BALDR
50bp	146	750K	BALDR
25bp	68	750K	BALDR
25bp	60	750K	BALDR
25bp	153	750K	BALDR
25bp	65	750K	BALDR
25bp	76	750K	BALDR
25bp	59	750K	BALDR
25bp	64	750K	BALDR
25bp	79	750K	BALDR
25bp	73	750K	BALDR
25bp	60	750K	BALDR
25bp	71	750K	BALDR
25bp	62	750K	BALDR
25bp	109	750K	BALDR
25bp	75	750K	BALDR
25bp	60	750K	BALDR
25bp	68	750K	BALDR
25bp	62	750K	BALDR
25bp	66	750K	BALDR
25bp	73	750K	BALDR
25bp	75	750K	BALDR
25bp	133	750K	BALDR
25bp	82	750K	BALDR
25bp	63	750K	BALDR
25bp	68	750K	BALDR
25bp	57	750K	BALDR
25bp	63	750K	BALDR
25bp	77	750K	BALDR
25bp	55	750K	BALDR
25bp	85	750K	BALDR
25bp	57	750K	BALDR
25bp	199	750K	BALDR
25bp	108	750K	BALDR
25bp	86	750K	BALDR
25bp	66	750K	BALDR
25bp	81	750K	BALDR
25bp	121	750K	BALDR
25bp	76	750K	BALDR
25bp	106	750K	BALDR
25bp	86	750K	BALDR
25bp	66	750K	BALDR
100bp	2489	750K	VDJpuzzle
100bp	2430	750K	VDJpuzzle
100bp	2360	750K	VDJpuzzle
100bp	2220	750K	VDJpuzzle
75bp	939	750K	VDJpuzzle
75bp	944	750K	VDJpuzzle
75bp	928	750K	VDJpuzzle
75bp	926	750K	VDJpuzzle
75bp	921	750K	VDJpuzzle
50bp	1480	750K	VDJpuzzle
50bp	1472	750K	VDJpuzzle
50bp	1469	750K	VDJpuzzle
50bp	1488	750K	VDJpuzzle
50bp	1469	750K	VDJpuzzle
25bp	939	750K	VDJpuzzle
25bp	930	750K	VDJpuzzle
25bp	924	750K	VDJpuzzle
25bp	980	750K	VDJpuzzle
25bp	920	750K	VDJpuzzle
100bp	35	750K	TRUST4
100bp	49	750K	TRUST4
100bp	61	750K	TRUST4
100bp	62	750K	TRUST4
100bp	56	750K	TRUST4
100bp	53	750K	TRUST4
100bp	64	750K	TRUST4
100bp	55	750K	TRUST4
100bp	56	750K	TRUST4
100bp	45	750K	TRUST4
100bp	45	750K	TRUST4
100bp	45	750K	TRUST4
100bp	47	750K	TRUST4
100bp	37	750K	TRUST4
100bp	39	750K	TRUST4
100bp	38	750K	TRUST4
100bp	35	750K	TRUST4
100bp	30	750K	TRUST4
100bp	41	750K	TRUST4
100bp	32	750K	TRUST4
100bp	36	750K	TRUST4
100bp	38	750K	TRUST4
100bp	38	750K	TRUST4
