Read_Length Time	Coverage	Method
25bp	2	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
25bp	1	50K	TRUST4
25bp	2	50K	TRUST4
25bp	1	50K	TRUST4
100bp	567	100K	BRACER
100bp	642	100K	BRACER
100bp	642	100K	BRACER
100bp	641	100K	BRACER
100bp	641	100K	BRACER
100bp	579	100K	BRACER
100bp	580	100K	BRACER
100bp	671	100K	BRACER
100bp	668	100K	BRACER
100bp	673	100K	BRACER
100bp	669	100K	BRACER
100bp	636	100K	BRACER
100bp	678	100K	BRACER
100bp	681	100K	BRACER
100bp	577	100K	BRACER
100bp	620	100K	BRACER
100bp	645	100K	BRACER
100bp	647	100K	BRACER
100bp	572	100K	BRACER
100bp	574	100K	BRACER
100bp	573	100K	BRACER
100bp	575	100K	BRACER
100bp	1108	100K	BRACER
100bp	563	100K	BRACER
100bp	597	100K	BRACER
100bp	567	100K	BRACER
100bp	598	100K	BRACER
100bp	567	100K	BRACER
100bp	591	100K	BRACER
100bp	573	100K	BRACER
100bp	563	100K	BRACER
100bp	569	100K	BRACER
100bp	563	100K	BRACER
100bp	623	100K	BRACER
100bp	565	100K	BRACER
100bp	620	100K	BRACER
100bp	623	100K	BRACER
100bp	600	100K	BRACER
100bp	621	100K	BRACER
100bp	623	100K	BRACER
75bp	607	100K	BRACER
75bp	619	100K	BRACER
75bp	620	100K	BRACER
75bp	620	100K	BRACER
75bp	618	100K	BRACER
75bp	603	100K	BRACER
75bp	584	100K	BRACER
75bp	684	100K	BRACER
75bp	652	100K	BRACER
75bp	590	100K	BRACER
75bp	587	100K	BRACER
75bp	590	100K	BRACER
75bp	677	100K	BRACER
75bp	677	100K	BRACER
75bp	668	100K	BRACER
75bp	667	100K	BRACER
75bp	575	100K	BRACER
75bp	579	100K	BRACER
75bp	559	100K	BRACER
75bp	604	100K	BRACER
75bp	667	100K	BRACER
75bp	665	100K	BRACER
75bp	581	100K	BRACER
75bp	609	100K	BRACER
75bp	610	100K	BRACER
75bp	608	100K	BRACER
75bp	611	100K	BRACER
75bp	554	100K	BRACER
75bp	1104	100K	BRACER
75bp	565	100K	BRACER
75bp	589	100K	BRACER
75bp	591	100K	BRACER
75bp	559	100K	BRACER
75bp	656	100K	BRACER
75bp	564	100K	BRACER
75bp	651	100K	BRACER
75bp	615	100K	BRACER
75bp	582	100K	BRACER
75bp	659	100K	BRACER
75bp	660	100K	BRACER
50bp	671	100K	BRACER
50bp	663	100K	BRACER
50bp	660	100K	BRACER
50bp	661	100K	BRACER
50bp	646	100K	BRACER
50bp	657	100K	BRACER
50bp	641	100K	BRACER
50bp	621	100K	BRACER
50bp	624	100K	BRACER
50bp	555	100K	BRACER
50bp	663	100K	BRACER
50bp	657	100K	BRACER
50bp	650	100K	BRACER
50bp	660	100K	BRACER
50bp	644	100K	BRACER
50bp	638	100K	BRACER
50bp	551	100K	BRACER
50bp	675	100K	BRACER
50bp	654	100K	BRACER
50bp	640	100K	BRACER
50bp	638	100K	BRACER
50bp	565	100K	BRACER
50bp	660	100K	BRACER
50bp	32	100K	BRACER
50bp	639	100K	BRACER
50bp	556	100K	BRACER
50bp	564	100K	BRACER
50bp	558	100K	BRACER
50bp	638	100K	BRACER
50bp	664	100K	BRACER
50bp	648	100K	BRACER
50bp	638	100K	BRACER
50bp	668	100K	BRACER
50bp	662	100K	BRACER
50bp	654	100K	BRACER
50bp	658	100K	BRACER
50bp	663	100K	BRACER
50bp	660	100K	BRACER
50bp	653	100K	BRACER
50bp	664	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	31	100K	BRACER
25bp	29	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	29	100K	BRACER
25bp	30	100K	BRACER
25bp	29	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	29	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	29	100K	BRACER
25bp	30	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	31	100K	BRACER
25bp	31	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
25bp	30	100K	BRACER
100bp	58	100K	MIXCR
100bp	46	100K	MIXCR
100bp	22	100K	MIXCR
100bp	34	100K	MIXCR
100bp	22	100K	MIXCR
100bp	43	100K	MIXCR
100bp	22	100K	MIXCR
100bp	43	100K	MIXCR
100bp	23	100K	MIXCR
100bp	43	100K	MIXCR
100bp	43	100K	MIXCR
100bp	56	100K	MIXCR
